serial_no,content
1, Welcome! Youï¿½ve Found the Easiest Way to Learn HTML and CSS.
2, HTML for Absolute Beginners
2.1, What is HTML?
2.2, The History of HTML
2.3, What are Tags and Attributes?
2.4, HTML Editors
2.5, Creating Your First HTML Webpage
2.6, Adding Content
2.7, How To Close an HTML Document
2.8, Troubleshooting
3, Our Other HTML Tutorials
3.1, Intermediate & Advanced Tutorials
3.2, HTML Reference Guides
3.3, HTML Attributes Reference Guide
3.4, HTML Cheat Sheet
3.5, The HTML.com Blog


